imdb_id,titleType,primaryTitle,runtimeMinutes,id,budget,original_language,popularity,revenue,release_month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,weighted_rating,actor_present,directors_present,Variance
tt0029852,movie,Alexander's Ragtime Band,106.0,43839,2000000,en,0.169786,4000000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.369433224732053,1,0,2000000
tt0030993,movie,You Can't Take It with You,126.0,34106,1644736,en,0.744583,7433101,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.194750811440503,0,0,5788365
tt0031381,movie,Gone with the Wind,238.0,770,4000000,en,4.219148,400176459,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.990901030080859,0,0,396176459
tt0031679,movie,Mr. Smith Goes to Washington,129.0,3083,1500000,en,0.941442,9600000,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8323732821522585,0,0,8100000
tt0031725,movie,Ninotchka,110.0,1859,1365000,en,0.353699,2279000,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.117831380977446,1,0,914000
tt0031971,movie,Stagecoach,96.0,995,531374,en,1.786505,1103757,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.429153205659752,1,0,572383
tt0032138,movie,The Wizard of Oz,102.0,630,2777000,en,4.057085,33754967,8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.917026094107245,0,0,30977967
tt0032143,movie,The Women,133.0,22490,1688000,en,1.013342,2270000,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.911678958559533,0,0,582000
tt0032273,movie,Boom Town,119.0,55604,2000000,en,0.264352,9172000,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.418980720304841,0,0,7172000
tt0032455,movie,Fantasia,125.0,756,2280000,en,2.834524,83320000,11,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.455960507627329,0,0,81040000
tt0032553,movie,The Great Dictator,125.0,914,2000000,en,3.077154,11000000,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.224761380545837,0,0,9000000
tt0032910,movie,Pinocchio,88.0,10895,2600000,en,4.374257,84300000,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.263929588909404,0,0,81700000
tt0032976,movie,Rebecca,130.0,223,1288000,en,1.994851,6000000,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.867685408974582,0,0,4712000
tt0033467,movie,Citizen Kane,119.0,15,839727,en,3.82689,23217674,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.21201085845873,0,0,22377947
tt0033563,movie,Dumbo,64.0,11360,812000,en,4.902055,1600000,10,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0797817957622105,0,0,788000
tt0033729,movie,How Green Was My Valley,118.0,43266,1250000,en,0.543013,6000000,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.060198287495281,0,0,4750000
